ENSEMBL_ID	GENE_SYMBOL	DESCRIPTION	Prot_log2FC_25_KD	Prot_FDR_25_KD	Prot_log2FC_68_KD	Prot_FDR_68_KD	Prot_log2FC_25_OE	Prot_FDR_25_OE	Prot_log2FC_68_OE	Prot_FDR_68_OE	RNA_log2FC_25_KD	RNA_FDR_25_KD	RNA_log2FC_68_KD	RNA_FDR_68_KD	RNA_log2FC_25_OE	RNA_FDR_25_OE	RNA_log2FC_68_OE	RNA_FDR_68_OE	CFIm_Target
ENSG00000010539	ZNF200	zinc finger protein 200	NA	NA	NA	NA	NA	NA	NA	NA	-0.107085012	0.307345634	-0.019179127	0.831493527	0.165744163	0.087783562	0.038731918	0.782791392	1
ENSG00000012963	UBR7	ubiquitin protein ligase E3 component n-recognin 7	-0.10000412	0.999980048	0.045719371	0.937693518	0.286204353	0.166533783	0.064701548	0.655060558	0.60120488	3.21E-20	0.457789934	6.55E-21	0.383632014	2.84E-08	-0.23597185	0.002001507	1
ENSG00000015568	RGPD5	RANBP2 like and GRIP domain containing 5	NA	NA	NA	NA	0.08196534	0.310398784	0.590825269	0.003184773	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000018408	WWTR1	WW domain containing transcription regulator 1	-0.008913649	0.999980048	-0.092691606	0.937693518	-0.352486809	0.38116585	0.033377792	0.856330959	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000018510	AGPS	alkylglycerone phosphate synthase	-0.088988154	0.999980048	-0.059349422	0.937693518	0.243970347	0.092026991	0.736834629	0.00077375	-0.205631982	0.004681173	-0.111555948	0.039507798	-0.431166708	1.51E-08	-0.236578921	0.001993663	1
ENSG00000020922	MRE11	"MRE11 homolog, double strand break repair nuclease"	0.093140367	0.999980048	0.068196605	0.937693518	NA	NA	NA	NA	0.149778477	0.134631185	0.161845516	0.025583115	0.171525314	0.074901164	0.025086859	0.878247288	1
ENSG00000024048	UBR2	ubiquitin protein ligase E3 component n-recognin 2	-0.107926971	0.999980048	0.006575108	0.969820215	-0.005138558	0.941738038	0.07516074	0.376350662	-0.036659805	0.747989438	-0.058435178	0.497232021	0.028813875	0.810829413	0.011090658	0.9532612	1
ENSG00000024526	DEPDC1	DEP domain containing 1	0.035691956	0.999980048	-0.085606709	0.937693518	NA	NA	NA	NA	-0.137443471	0.078672832	-0.225659759	1.27E-05	-0.095517219	0.247788042	0.100571057	0.265658917	1
ENSG00000026508	CD44	CD44 molecule (Indian blood group)	0.044505608	0.999980048	0.108435587	0.940705097	0.088459296	0.688727092	0.122837629	0.419774832	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000029363	BCLAF1	BCL2 associated transcription factor 1	-0.2251907	0.999980048	-0.168872294	0.952594755	-0.222897541	0.038347011	-0.107483812	0.605881501	-0.370168959	1.77E-07	-0.530617501	3.16E-26	-0.137270911	0.07644771	0.183682878	0.015943792	1
ENSG00000035862	TIMP2	TIMP metallopeptidase inhibitor 2	NA	NA	NA	NA	NA	NA	NA	NA	0.236766501	0.011765345	0.458456067	3.83E-12	-0.434142968	3.90E-06	-0.130030391	0.265296307	1
ENSG00000035928	RFC1	replication factor C subunit 1	0.077765735	0.999980048	0.101756793	0.937693518	-0.099961683	0.232589621	-0.00206716	0.926759409	0.200207623	0.043247099	-0.055984076	0.537615791	0.228872784	0.028938193	-0.040159797	0.776528869	1
ENSG00000042088	TDP1	tyrosyl-DNA phosphodiesterase 1	0.323846959	0.999980048	-0.120932893	0.937693518	0.007824291	0.863197617	-0.315167817	0.016751434	0.759839966	1.42E-20	-0.039375279	0.625494135	0.48969276	3.51E-08	-0.252201817	0.011760014	1
ENSG00000047188	YTHDC2	YTH domain containing 2	0.079693017	0.999980048	0.067469308	0.937693518	0.079904858	0.361423763	-0.024121274	0.530890787	0.238362141	0.001157991	0.18656912	0.000684536	0.158808237	0.060587826	-0.24586033	0.001880842	1
ENSG00000049883	PTCD2	pentatricopeptide repeat domain 2	NA	NA	NA	NA	-0.112761514	0.134207588	-0.066437256	0.251654786	0.406923566	1.20E-05	0.084286887	0.291363502	0.706265191	8.01E-16	0.186023421	0.082580752	1
ENSG00000050393	MCUR1	mitochondrial calcium uniporter regulator 1	-0.840419385	0.999980048	-0.442588452	0.937693518	-0.125674287	0.19596783	0.195614725	0.271534385	-1.109337915	1.62E-60	-1.308834141	6.20E-157	-0.311784997	1.45E-05	0.247431513	0.000706979	1
ENSG00000052723	SIKE1	suppressor of IKBKE 1	0.074533183	0.999980048	0.097172034	0.937693518	0.059651011	0.300812798	-0.216375877	0.198021984	-0.060051129	0.487635877	-0.339127188	3.73E-09	0.263090032	0.001057149	0.233534261	0.003610109	1
ENSG00000053770	AP5M1	adaptor related protein complex 5 subunit mu 1	-0.088760464	0.999980048	0.012656159	0.94228526	0.110603859	0.429893625	0.178951877	0.158199151	0.319041026	0.011997324	0.299398525	0.005225678	0.260702569	0.068525818	-0.082406081	0.643694823	1
ENSG00000055332	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	0.019626545	0.999980048	0.053040273	0.937693518	-0.110461579	0.22602598	-0.142307349	0.169366191	0.189777994	0.014443068	0.2322142	5.34E-05	-0.002225329	0.988320681	-0.283925763	0.000585182	1
ENSG00000058729	RIOK2	RIO kinase 2	-0.147898558	0.999980048	-0.045097537	0.937693518	0.002725392	0.777841135	0.495570196	0.003946441	0.227017177	0.009342387	0.138379931	0.033877502	0.405705983	4.68E-07	0.090067984	0.388804057	1
ENSG00000058804	NDC1	NDC1 transmembrane nucleoporin	0.016201378	0.999980048	-0.050145368	0.937693518	0.026871662	0.888176951	0.263719014	0.37909551	-0.35304617	7.22E-09	-0.654890619	3.35E-54	-0.151096732	0.026763812	0.222827654	0.000325827	1
ENSG00000060749	QSER1	glutamine and serine rich 1	0.053050862	0.999980048	0.04486318	0.960718073	-0.056497063	0.516990336	0.100008876	0.439193332	-0.362596982	1.58E-06	0.177156097	0.001773669	0.08011299	0.39461379	-0.034436316	0.752828747	1
ENSG00000061794	MRPS35	mitochondrial ribosomal protein S35	0.042730303	0.999980048	0.093762536	0.940705097	-0.011753942	0.937363344	0.065263085	0.33250453	0.051425084	0.565467011	-0.056115415	0.356205594	0.181559616	0.028829595	0.128166383	0.141993602	1
ENSG00000062194	GPBP1	GC-rich promoter binding protein 1	0.019975375	0.999980048	-0.005603136	0.944743047	-0.233711179	0.041590327	0.084764529	0.240270915	0.08973072	0.220745027	0.018209458	0.762157853	0.155602756	0.028185252	0.167097614	0.022457678	1
ENSG00000062650	WAPL	WAPL cohesin release factor	0.020639559	0.999980048	0.024889392	0.940202207	NA	NA	NA	NA	-0.073105732	0.305612341	-0.016033514	0.763242894	0.195188305	0.006509339	0.047257017	0.588104938	1
ENSG00000063322	MED29	mediator complex subunit 29	0.175942487	0.999980048	0.147357376	0.937693518	0.117726749	0.206226981	0.111807366	0.126910795	0.041553269	0.692156104	0.052120218	0.478745258	-0.368064207	0.000662632	-0.127940824	0.225795017	1
ENSG00000064651	SLC12A2	solute carrier family 12 member 2	-0.069427658	0.999980048	-0.102228955	0.937693518	0.126903937	0.125218933	0.036726067	0.841335371	0.131976951	0.332193782	0.17693219	0.074484965	0.348833544	0.002776496	0.064991415	0.730493179	1
ENSG00000064763	FAR2	fatty acyl-CoA reductase 2	NA	NA	NA	NA	0.128211157	0.822882374	0.16801699	0.270339057	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000065328	MCM10	minichromosome maintenance 10 replication initiation factor	-0.008404871	0.999980048	-0.041757383	0.958404514	0.078494511	0.568516152	0.186467671	0.16382645	0.312399217	1.84E-06	0.408489193	9.80E-19	0.318783501	2.51E-06	-0.117639383	0.134973442	1
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4	0.064854327	0.999980048	0.076188985	0.937693518	0.072096459	0.728614211	-0.089390797	0.479084671	0.176489251	0.040914788	0.259929093	1.83E-05	-0.111990582	0.224593282	-0.226086609	0.022722382	1
ENSG00000066044	ELAVL1	ELAV like RNA binding protein 1	0.017396618	0.999980048	0.018794263	0.941183551	0.014125064	0.725533954	-0.284903592	0.008348713	-0.151211781	0.021714215	-0.317272562	4.31E-13	0.024077344	0.760253869	-0.042195016	0.616371766	1
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	NA	NA	NA	NA	0.088974598	0.754737649	0.062021193	0.900869496	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000066739	ATG2B	autophagy related 2B	-0.054162521	0.999980048	-0.01320735	0.941183551	0.113251113	0.189078817	0.142615948	0.161577128	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000067141	NEO1	neogenin 1	-0.067757654	0.999980048	-0.103237288	0.937693518	0.149708571	0.297775089	0.696571281	0.000768699	-0.218000031	0.001815636	0.036789091	0.516109683	0.050106106	0.537255416	0.335446872	3.02E-07	1
ENSG00000067177	PHKA1	phosphorylase kinase regulatory subunit alpha 1	0.042790665	0.999980048	0.071904638	0.937693518	0.080799973	0.591926368	0.170744323	0.549424102	-0.10173288	0.145375064	-0.165819116	0.00024611	0.190005218	0.004364383	0.027430342	0.776200914	1
ENSG00000068878	PSME4	proteasome activator subunit 4	0.013472245	0.999980048	0.159893637	0.937693518	0.075570025	0.36830996	0.013264391	0.551688168	-0.024541003	0.784396117	0.228739069	2.36E-06	-0.068474835	0.410754389	-0.302397023	2.25E-05	1
ENSG00000069188	SDK2	sidekick cell adhesion molecule 2	0.012926412	0.999980048	-0.159298123	0.937693518	-0.091245253	0.616825938	-0.319258055	0.018375699	0.379782771	5.41E-05	0.192156991	0.013694727	0.523999148	5.17E-08	0.093165601	0.518271687	1
ENSG00000069667	RORA	RAR related orphan receptor A	NA	NA	NA	NA	NA	NA	NA	NA	1.473778881	0.001940678	1.749521763	1.09E-05	-0.506197536	0.560187777	0.631578464	0.388124839	1
ENSG00000070778	PTPN21	protein tyrosine phosphatase non-receptor type 21	0.106897631	0.999980048	0.010940702	0.943573124	NA	NA	NA	NA	-0.210473212	0.258983861	0.192634311	0.184728923	0.218912717	0.24083696	-0.114871737	0.631597206	1
ENSG00000071073	MGAT4A	"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"	NA	NA	NA	NA	NA	NA	NA	NA	1.53948037	6.55E-35	1.797240058	3.33E-73	0.12070038	0.573666545	-0.072217318	0.821050008	1
ENSG00000071127	WDR1	WD repeat domain 1	-0.012623707	0.999980048	0.141440237	0.937693518	-0.029396141	0.992412688	0.280696226	0.013872058	-0.14099975	0.04378369	0.004002731	0.949875063	-0.236161608	0.000647445	0.075316654	0.340682301	1
ENSG00000071189	SNX13	sorting nexin 13	NA	NA	NA	NA	0.130458305	0.541984925	0.078375142	0.518641398	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000071564	TCF3	transcription factor 3	-0.148651634	0.999980048	-0.15737227	0.937693518	0.145890131	0.325811913	0.266011472	0.16006247	-0.295666084	0.000306093	-0.249744325	3.01E-05	-0.117498258	0.283004285	-0.044977895	0.691971176	1
ENSG00000071994	PDCD2	programmed cell death 2	-0.008280124	0.999980048	0.044739514	0.94228526	-0.053994144	0.676908603	0.207592552	0.512605065	-0.132474497	0.198126141	-0.25348964	0.001041343	-0.146119422	0.148938087	0.1651055	0.116205986	1
ENSG00000072210	ALDH3A2	aldehyde dehydrogenase 3 family member A2	0.125789388	0.999980048	0.172676229	0.937693518	0.236940893	0.043816219	-0.17536221	0.163573904	0.379371927	9.99E-09	0.498047231	7.45E-27	0.213152399	0.00325192	-0.320885457	2.77E-05	1
ENSG00000072422	RHOBTB1	Rho related BTB domain containing 1	NA	NA	NA	NA	NA	NA	NA	NA	0.140150315	0.083217156	-0.203422197	0.00040572	0.410287291	5.00E-08	0.009623676	0.951913891	1
ENSG00000073712	FERMT2	FERM domain containing kindlin 2	-0.001505068	0.999980048	0.201326018	0.937693518	0.017067212	0.541984925	-0.222549561	0.375878753	0.030835108	0.714759293	0.170488591	0.000409476	0.41251133	1.40E-09	-0.029039405	0.788676077	1
ENSG00000074356	NCBP3	nuclear cap binding subunit 3	0.061367833	0.999980048	-0.011808615	0.943573124	NA	NA	NA	NA	-0.739006314	0.063958126	-1.613262974	4.33E-05	0.224863308	0.625663179	0.469784176	0.296521746	1
ENSG00000074695	LMAN1	"lectin, mannose binding 1"	0.010921565	0.999980048	-0.127026288	0.983666891	-0.03082489	0.826113937	0.068994854	0.810951566	-0.282723135	7.12E-06	-0.436784447	1.88E-24	0.1574368	0.032897844	0.303022425	2.07E-07	1
ENSG00000077721	UBE2A	ubiquitin conjugating enzyme E2 A	-0.276229454	0.999980048	-0.109200381	0.952594755	0.369064534	0.051806395	0.364120686	0.065430968	0.122363431	0.279994926	0.196972178	0.014606944	-0.089485331	0.462048286	0.139964027	0.258727304	1
ENSG00000078140	UBE2K	ubiquitin conjugating enzyme E2 K	0.169795329	0.999980048	0.373778228	0.937693518	0.06681423	0.714261846	0.071127437	0.741295763	0.255443048	0.004994881	0.362392748	1.07E-07	0.101448351	0.315790679	0.090706417	0.454332652	1
ENSG00000078369	GNB1	G protein subunit beta 1	-0.044443699	0.999980048	0.025579305	0.94938821	-0.121094448	0.149151572	-0.005790275	0.541968888	-0.150434348	0.018786641	-0.123876904	0.004986316	-0.27040215	2.72E-05	0.095103359	0.170698963	1
ENSG00000079246	XRCC5	X-ray repair cross complementing 5	0.235546088	0.999980048	0.304737564	0.937693518	-0.38823202	0.006244379	-0.024290459	0.878236409	-0.127585676	0.045187037	-0.25665208	4.82E-10	-0.631859307	1.16E-25	-0.16595691	0.015304076	1
ENSG00000079332	SAR1A	secretion associated Ras related GTPase 1A	0.088524403	0.999980048	0.333116575	0.937693518	-0.184257825	0.38933962	-0.038524478	0.861124205	0.676238377	5.58E-18	0.851209133	1.29E-48	-0.235397275	0.008938864	0.02507095	0.869317265	1
ENSG00000080815	PSEN1	presenilin 1	NA	NA	NA	NA	-0.177357618	0.693464683	0.366896084	0.007614919	0.129026996	0.132280374	0.277404612	2.56E-06	0.269483039	0.001008282	-0.038277098	0.75021277	1
ENSG00000081019	RSBN1	round spermatid basic protein 1	-0.200104908	0.999980048	-0.242331118	0.876434904	-0.079721197	0.388996968	-0.207572535	0.055147436	-0.175784661	0.086183353	-0.54915841	2.72E-14	-0.059989816	0.575443124	0.096307665	0.398143977	1
ENSG00000081154	PCNP	PEST proteolytic signal containing nuclear protein	-0.071056702	0.999980048	0.143278044	0.937693518	0.035492708	0.857358315	-0.179198462	0.054667355	-0.100238022	0.310183698	0.046577867	0.533285432	0.208604483	0.019586234	-0.163921651	0.092663622	1
ENSG00000082512	TRAF5	TNF receptor associated factor 5	0.033085741	0.999980048	-0.030480674	0.993297015	NA	NA	NA	NA	-0.122701246	0.320233364	-0.330816392	2.67E-05	0.085721	0.463924898	0.450335017	2.51E-06	1
ENSG00000083123	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	0.119382168	0.999980048	0.100839291	0.937693518	-0.151945239	0.383060742	-0.019011872	0.864404103	-0.215530075	0.020371103	-0.187714174	0.006712893	-0.116247549	0.236700941	-0.164951219	0.113673858	1
ENSG00000083642	PDS5B	PDS5 cohesin associated factor B	-0.066041997	0.999980048	0.066743881	0.937693518	-0.315922559	0.012128198	-0.134991576	0.109890129	0.354002016	0.090333614	0.781902918	4.16E-07	-0.214795594	0.368943725	0.299846836	0.243410143	1
ENSG00000083720	OXCT1	3-oxoacid CoA-transferase 1	0.129960364	0.999980048	0.160196299	0.937693518	-0.07336689	0.424828746	-0.258073551	0.019297809	0.141573251	0.027838727	-0.228754258	9.79E-08	0.111417899	0.106948178	0.12772044	0.068559738	1
ENSG00000084234	APLP2	amyloid beta precursor like protein 2	0.530209637	0.999980048	0.064672581	0.97957985	0.092795313	0.507305376	0.847871806	0.00077375	0.161196488	0.037926551	0.359719332	9.85E-12	-0.366816332	3.24E-06	0.12609628	0.15579422	1
ENSG00000084676	NCOA1	nuclear receptor coactivator 1	-0.104545811	0.999980048	-0.092149977	0.950096205	-0.105617414	0.647786964	-0.107220039	0.98655144	0.007637717	0.946823738	0.173376348	0.00111483	0.000178818	1	-0.42034156	2.88E-09	1
ENSG00000085063	CD59	CD59 molecule (CD59 blood group)	0.164115914	0.999980048	0.265861418	0.937693518	-0.104959379	0.216683043	0.104129423	0.530323185	-0.201080532	0.004211206	-0.114294402	0.022233749	-0.365693011	3.63E-07	0.117959361	0.133321024	1
ENSG00000085719	CPNE3	copine 3	0.007530908	0.999980048	-0.11170013	0.937693518	-0.078751316	0.433523304	-0.131722267	0.389509585	0.081527723	0.367191327	0.120970343	0.049634985	-0.276811785	0.000973068	-0.293774447	0.001183613	1
ENSG00000085832	EPS15	epidermal growth factor receptor pathway substrate 15	0.066698013	0.999980048	0.195941205	0.802610771	0.006665386	0.891285896	-0.013834722	0.64721485	0.139374536	0.040728032	0.096951497	0.038674792	0.22337199	0.000813062	0.123087015	0.093912898	1
ENSG00000086619	ERO1B	endoplasmic reticulum oxidoreductase 1 beta	0.037756728	0.999980048	-0.090050281	0.937693518	NA	NA	NA	NA	-0.48702565	2.40E-11	-0.912752024	5.72E-64	0.215665906	0.005232062	0.267378963	0.000123284	1
ENSG00000087266	SH3BP2	SH3 domain binding protein 2	0.011642659	0.999980048	0.095471391	0.993859261	NA	NA	NA	NA	-0.258530798	0.007902709	-0.228939013	0.003076102	-0.114412137	0.256530875	0.176486703	0.104016995	1
ENSG00000087448	KLHL42	kelch like family member 42	NA	NA	NA	NA	NA	NA	NA	NA	-0.047783924	0.714616893	0.236922175	0.002092225	-0.311595333	0.002875629	0.238682796	0.027473995	1
ENSG00000088205	DDX18	DEAD-box helicase 18	0.095549379	0.999980048	0.119299921	0.937693518	-0.152795954	0.17324545	-0.020829013	0.680710716	0.144310213	0.030210424	-0.011016977	0.843716484	-0.476515325	8.72E-13	-0.204166026	0.00474527	1
ENSG00000088766	CRLS1	cardiolipin synthase 1	NA	NA	NA	NA	NA	NA	NA	NA	-0.158736941	0.44937427	-0.08959894	0.591802144	0.091844633	0.636052771	0.114068031	0.61987252	1
ENSG00000088833	NSFL1C	NSFL1 cofactor	-0.153884473	0.999980048	0.003418064	0.983666891	-0.072584419	0.589001926	-0.082733969	0.352455714	-0.102032184	0.172441441	-0.01756192	0.768099274	-0.305002223	1.33E-05	0.085375724	0.309318129	1
ENSG00000090863	GLG1	golgi glycoprotein 1	-0.04446852	0.999980048	-0.008400682	0.941183551	0.023135544	0.815911273	0.072622612	0.829425561	0.202845818	0.002010298	0.481653772	1.04E-26	-0.087906251	0.228174624	0.044226543	0.616886802	1
ENSG00000092203	TOX4	TOX high mobility group box family member 4	0.001540088	0.999980048	-0.007464442	0.971953827	0.016959066	0.7641311	0.023334229	0.741158337	0.188706051	0.008178353	0.334307458	1.82E-12	0.136389611	0.060637178	-0.244444618	0.000674216	1
ENSG00000092931	MFSD11	major facilitator superfamily domain containing 11	NA	NA	NA	NA	-0.318796793	0.096704632	0.024325929	0.499390396	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000093000	NUP50	nucleoporin 50	0.036833738	0.999980048	-0.06356246	0.937693518	-0.035987799	0.733081287	0.059974951	0.530890787	0.060297084	0.512638672	0.191695643	0.001061724	-0.032658571	0.733177676	0.163364351	0.057168422	1
ENSG00000093144	ECHDC1	ethylmalonyl-CoA decarboxylase 1	0.050738476	0.999980048	-0.054901299	0.937693518	-0.283994209	0.015833057	0.031378282	0.802201587	-0.368743222	3.46E-07	-0.522156487	1.03E-21	-0.233955399	0.004470804	-0.104610794	0.239878611	1
ENSG00000095574	IKZF5	IKAROS family zinc finger 5	NA	NA	NA	NA	-0.262041901	0.142122494	-0.289052925	0.029563343	-0.469542738	3.03E-09	-0.722531806	4.37E-35	0.246788523	0.009694639	0.256512966	0.001094466	1
ENSG00000099940	SNAP29	synaptosome associated protein 29	-0.028485638	0.999980048	0.077004751	0.937693518	0.039767583	0.909566226	0.115527869	0.308213053	0.118253721	0.282232792	0.311850149	3.55E-05	0.152886888	0.182026634	-0.085230777	0.523880591	1
ENSG00000100138	SNU13	small nuclear ribonucleoprotein 13	-0.094788068	0.999980048	0.033281243	0.937693518	NA	NA	NA	NA	0.028525815	0.730658294	-0.026289001	0.641142895	-0.101618753	0.164456496	0.099029045	0.192006913	1
ENSG00000100380	ST13	ST13 Hsp70 interacting protein	0.015877413	0.999980048	0.136720118	0.937693518	-0.195897843	0.399799481	-0.145687763	0.596974939	0.213575677	0.00062507	0.23157944	1.05E-07	-0.366290125	6.65E-08	-0.013601295	0.908903858	1
ENSG00000100503	NIN	ninein	-0.17880042	0.999980048	-0.079013061	0.937693518	-0.123423784	0.228950746	0.130551185	0.159553268	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000100522	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	-0.117580535	0.999980048	0.043858421	0.979769873	0.006048927	0.760861551	-0.106050326	0.270180757	-0.230275454	0.000670454	-0.727047017	5.88E-60	0.392296453	2.62E-09	0.030443695	0.743818254	1
ENSG00000100596	SPTLC2	serine palmitoyltransferase long chain base subunit 2	0.097698346	0.999980048	-0.00246693	0.988435495	0.224648782	0.074043501	0.487133908	0.001944776	-0.037782999	0.720206751	0.238598011	0.00017196	0.078723422	0.436943499	0.036927332	0.77182482	1
ENSG00000100614	PPM1A	"protein phosphatase, Mg2+/Mn2+ dependent 1A"	0.024016389	0.999980048	0.147807616	0.937693518	0.119236303	0.154792372	0.013601313	0.943004039	0.199619804	0.023361492	0.367919597	5.26E-09	0.177036929	0.052262249	-0.201447364	0.03247645	1
ENSG00000100697	DICER1	"dicer 1, ribonuclease III"	0.057861911	0.999980048	0.066024553	0.937693518	0.068732585	0.432822011	0.027916764	0.612367127	1.192258091	2.76E-10	1.36160075	2.81E-18	0.248477919	0.311641775	-0.251451374	0.387759524	1
ENSG00000101138	CSTF1	cleavage stimulation factor subunit 1	0.035947223	0.999980048	0.114047575	0.937693518	-0.010339987	0.752662048	-0.090015539	0.389098721	-0.308425386	0.449643255	0.163403254	0.621848156	-0.036167577	0.958938978	0.021501981	1	1
ENSG00000101144	BMP7	bone morphogenetic protein 7	NA	NA	NA	NA	NA	NA	NA	NA	0.396038229	1.07E-08	0.651830991	8.27E-40	0.257240426	0.000473589	0.040437277	0.695102552	1
ENSG00000101166	PRELID3B	PRELI domain containing 3B	NA	NA	NA	NA	NA	NA	NA	NA	0.130678363	0.069361538	-0.735557275	1.79E-55	0.507691806	1.44E-12	-0.044520567	0.639043478	1
ENSG00000101193	GID8	GID complex subunit 8 homolog	-0.05905585	0.999980048	-0.010185636	0.945800999	-0.01789105	0.979219555	-0.129493993	0.369928742	0.558462463	3.58E-13	0.716890652	1.66E-35	0.164771895	0.06442368	-0.239640589	0.008065609	1
ENSG00000101266	CSNK2A1	casein kinase 2 alpha 1	-0.092389793	0.999980048	0.068120116	0.941183551	-0.013945734	0.760345276	0.214604551	0.083222713	0.370003494	6.41E-09	0.220751912	1.55E-06	-0.022630641	0.79966066	0.115007272	0.139653361	1
ENSG00000101290	CDS2	CDP-diacylglycerol synthase 2	0.142208847	0.999980048	0.373246544	0.937693518	-0.129768751	0.500360609	-0.110265822	0.716947602	0.233904922	0.004612154	0.687955374	4.03E-33	-0.126906248	0.157615	0.05693122	0.596988923	1
ENSG00000101367	MAPRE1	microtubule associated protein RP/EB family member 1	-0.035064168	0.999980048	0.057028764	0.937693518	0.151009992	0.112059933	-0.184066091	0.103073645	0.386233791	2.68E-09	0.607182341	1.08E-42	0.21475721	0.001768879	-0.104094069	0.189961999	1
ENSG00000101751	POLI	DNA polymerase iota	-0.045982187	0.999980048	-0.160379111	0.937693518	NA	NA	NA	NA	0.045865854	0.744379023	-0.254454586	0.014930013	0.592772458	1.21E-06	0.129366962	0.426619165	1
ENSG00000101844	ATG4A	autophagy related 4A cysteine peptidase	NA	NA	NA	NA	NA	NA	NA	NA	-0.007021818	0.994398169	0.239102876	0.002848927	-0.223781062	0.035211	-0.005367278	0.991306652	1
ENSG00000101871	MID1	midline 1	-0.042424786	0.999980048	0.018698732	0.937693518	-0.12345372	0.420551311	0.093623429	0.192005004	NA	NA	NA	NA	NA	NA	NA	NA	1
ENSG00000101974	ATP11C	ATPase phospholipid transporting 11C	0.005670271	0.999980048	0.061077526	0.940705097	-0.090822258	0.938490263	0.035316136	0.913856046	-0.536542243	1.27E-15	-0.927337325	2.46E-75	-0.149304571	0.061005541	0.142694654	0.048412385	1
